1,105,55,65,14
2,110,57,55,16
3,110,62,55,16
4,110,50,55,16
5,105,64,55,16
6,115,78,55,16
7,115,64,55,16
8,115,38,55,16
9,105,69,60,14
10,115,61,55,16
11,105,62,65,14
12,105,51,65,14
13,125,38,45,16
14,105,69,60,14
15,115,46,55,11
16,115,53,60,11
17,105,63,60,11
18,105,81,60,11
19,105,40,60,14
20,105,80,60,7
21,100,71,65,12
22,100,74,65,9
23,105,55,65,9
24,105,66,65,9
25,105,46,65,9
26,105,78,65,9
27,105,72,65,9
28,115,41,60,9
29,115,47,60,9
30,115,50,60,9
31,115,73,55,9
32,115,50,60,6
33,115,40,60,6
34,115,76,55,6
35,115,62,60,6
36,115,54,60,6
37,115,43,60,6
38,115,30,65,6
39,115,73,65,6
40,100,65,65,6
41,105,53,65,13
42,105,63,65,13
43,105,47,60,13
44,105,40,60,13
45,105,60,65,13
46,105,71,62,13
47,105,60,65,18
48,105,53,65,18
49,105,46,65,18
50,105,57,65,18
51,105,64,65,18
52,105,72,65,18
53,105,60,60,20
54,105,42,60,20
55,105,49,62,20
56,105,55,60,20
57,105,63,60,20
58,105,69,60,20
59,125,54,40,20
60,105,52,60,20
61,120,44,50,20
62,120,62,50,20
63,105,54,65,8
64,105,61,65,8
65,105,48,65,8
66,115,60,55,6
67,115,45,60,6
68,115,62,55,6
69,105,43,65,15
70,105,63,60,15
71,105,50,65,15
72,105,68,60,15
73,105,60,60,15
74,105,60,65,18
75,105,51,65,18
76,105,62,65,18
77,105,49,65,18
78,105,71,65,18
79,105,60,65,12
80,105,49,65,12
81,105,65,65,12
82,105,55,65,12
83,105,72,60,12
84,105,43,65,7
85,105,52,60,7
