1,270,331,62
2,274,307,71
3,265,296,72
4,269,339,71
5,262,373,71
6,265,282,71
7,249,342,71
8,246,334,72
9,249,287,71
10,263,249,72
11,286,380,71
12,271,329,71
13,231,249,72
14,270,267,72
15,253,260,72
16,245,333,63
17,253,291,61
18,260,368,71
19,253,235,72
20,253,271,71
21,246,377,71
22,247,359,71
23,269,309,71
24,237,340,71
25,231,265,72
26,214,338,71
27,221,373,71
28,222,245,72
29,217,291,71
30,218,322,71
31,223,354,71
32,247,389,71
33,215,246,55
34,264,371,71
35,234,293,71
36,258,330,71
37,257,296,71
38,272,357,71
39,288,378,70
40,265,308,71
41,265,268,70
42,294,306,71
43,294,331,71
44,304,359,71
45,274,291,72
46,293,315,71
47,292,293,72
48,293,267,71
49,310,314,71
50,323,377,70
51,313,356,71
52,310,328,71
53,308,303,71
54,307,278,72
55,267,315,71
56,272,286,72
57,303,339,71
58,294,348,71
59,286,288,72
60,241,328,71
61,238,304,71
62,244,354,71
63,216,289,71
64,225,348,71
65,214,270,72
66,284,365,71
67,275,300,52
68,267,287,71
69,273,343,72
70,271,265,72
71,271,307,72
72,290,306,71
73,293,339,71
74,292,297,73
75,294,348,63
76,293,264,71
77,260,306,72
78,294,390,70
79,268,348,71
80,256,287,72
81,258,327,71
82,261,269,81
83,242,368,71
84,230,332,72
85,227,281,61
